Shoot,Camera,VideoPath,MeanJitter,MeanSpike,MeanLimbVar,RootAccel,Jerk,Score
Shoot3,CAM6,D:\ValidationTesting\Shoot3\CAM6.avi,161.9108,0.3767,0.3077,262.7819,477.4857,0.8819
Shoot1,CAM6,D:\ValidationTesting\Shoot1\CAM6.avi,194.7033,0.2943,0.2564,334.6306,609.9737,0.8776
Shoot2,CAM6,D:\ValidationTesting\Shoot2\CAM6.avi,153.1913,0.3563,0.2966,268.4532,488.3904,0.8447
Shoot2,CAM0,D:\ValidationTesting\Shoot2\CAM0.avi,122.1317,0.1487,0.1581,286.6829,534.5565,0.4953
Shoot2,CAM1,D:\ValidationTesting\Shoot2\CAM1.avi,88.1328,0.2887,0.1972,159.7213,277.3602,0.4722
Shoot3,CAM0,D:\ValidationTesting\Shoot3\CAM0.avi,103.0707,0.1914,0.1623,230.4938,424.4046,0.4497
Shoot2,CAM2,D:\ValidationTesting\Shoot2\CAM2.avi,67.9900,0.2515,0.2084,11.3566,20.0234,0.2933
Shoot3,CAM1,D:\ValidationTesting\Shoot3\CAM1.avi,46.5748,0.2608,0.2014,42.8577,77.6559,0.2864
Shoot1,CAM2,D:\ValidationTesting\Shoot1\CAM2.avi,49.6780,0.2584,0.1609,78.9967,144.7623,0.2758
Shoot3,CAM4,D:\ValidationTesting\Shoot3\CAM4.avi,34.0946,0.1314,0.2524,75.7563,137.8129,0.2554
Shoot2,CAM4,D:\ValidationTesting\Shoot2\CAM4.avi,19.0450,0.1970,0.2476,51.1103,93.4015,0.2539
Shoot3,CAM2,D:\ValidationTesting\Shoot3\CAM2.avi,66.0979,0.2150,0.1745,6.6795,11.5395,0.2189
Shoot3,CAM3,D:\ValidationTesting\Shoot3\CAM3.avi,42.4646,0.1958,0.1629,55.0647,100.4594,0.1967
Shoot2,CAM3,D:\ValidationTesting\Shoot2\CAM3.avi,37.3582,0.1902,0.1479,73.5355,131.1518,0.1829
Shoot3,CAM5,D:\ValidationTesting\Shoot3\CAM5.avi,34.1308,0.1741,0.1706,16.4700,28.7461,0.1402
Shoot2,CAM5,D:\ValidationTesting\Shoot2\CAM5.avi,42.9834,0.1729,0.1507,10.7683,20.2077,0.1259
Shoot1,CAM3,D:\ValidationTesting\Shoot1\CAM3.avi,34.4514,0.1673,0.1538,12.8979,24.1246,0.1134
Shoot1,CAM5,D:\ValidationTesting\Shoot1\CAM5.avi,11.8359,0.1586,0.1832,19.9464,36.1071,0.1104
Shoot1,CAM1,D:\ValidationTesting\Shoot1\CAM1.avi,39.7260,0.1568,0.1404,7.1139,12.4837,0.0928
Shoot1,CAM4,D:\ValidationTesting\Shoot1\CAM4.avi,10.1374,0.1506,0.1340,17.8171,32.3052,0.0429
Shoot1,CAM0,D:\ValidationTesting\Shoot1\CAM0.avi,8.2548,0.1165,0.1600,2.7023,4.7755,0.0299
